NOMBRE,total_subscribers,total_views,total_videos
NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,33700000.0,11071419147.0,1633.0
DanTDM @UCS5Oz6CHmeoF7vSad0qqXfw,28600000.0,19802408998.0,3705.0
KSI @UCVtFOytbRpEvzLjvqGG5gxQ,24100000.0,6015064768.0,1252.0
Mister Max @UC_8PAD0Qmi6_gpe77S1Atgg,24500000.0,16035783680.0,1141.0
Jelly @UC0DZmkupLYwc0yDsfocLh0A,23500000.0,15058679852.0,6374.0
Miss Katy @UCcartHVtvAUzfajflyeT_Gg,24600000.0,15555074796.0,1084.0
Dua Lipa @UC-J-KZfRV8c13fOCkhXdLiQ,23400000.0,12920509598.0,258.0
Dan Rhodes @UC6D1L2vxEAg_Vi0JSxMBDgA,26800000.0,18689927139.0,1668.0
Ali-A @UCYVinkwSX7szARULgYpvhLw,18900000.0,6489489032.0,4329.0
Gaby and Alex @UCHwBjRoGO1V-H8QYXjSVHkQ,17200000.0,8648950557.0,367.0
Sidemen @sidemen,10622210.52631579,4832438675.71579,4852.4
Queen Official @UCiMhD4jzUqG-IgPzUmmytRQ,17600000.0,11284694804.0,1160.0
Little Mix @UCIvqWqjC4aLvp7zI8hzARrA,16300000.0,7838466387.0,278.0
JJ Olatunji @UCGmnsW623G1r-Chmo5RB4Yw,16300000.0,4242041806.0,1339.0
F2Freestylers - Ultimate Soccer Skills Channel @UCKvn9VBLAiLiYL4FFJHri6g,14100000.0,3343848085.0,780.0
BBC News @UC16niRr50-MSBwiO3YDb3RA,16000000.0,5288495715.0,21508.0
BBC @UCCj956IF62FbT7Gouszaj9w,14200000.0,10417814544.0,19068.0
Awakening Music @UCBq5hp6DvwWam2XOXw6lYJA,14100000.0,5944004595.0,934.0
DisneyChannelUK @UCLeuoGy_hUDTBf5Hk0ynrpQ,13000000.0,13320185053.0,4523.0
colinfurze @UCp68_FLety0O-n9QU6phsgw,13000000.0,1748132482.0,397.0
Mrwhosetheboss @UCMiJRAwDNSNzuYeN2uWa0pA,18500000.0,5349595595.0,1686.0
TommyInnit @UC5p_l5ZeB_wGjO_yDXwiqvw,14800000.0,2368549213.0,466.0
Morgz @UCBwSufNse8VMBvQM_rCSvgQ,12700000.0,3532618701.0,846.0
Tiana @UC6sSkkemzPjmrzS0Y0V_2zw,11400000.0,3243718817.0,1039.0
DisneyJuniorUK @UC7Gf2tZ8coTX2ckTPgn62iQ,12000000.0,12364010067.0,2888.0
Emily Tube @UC-0D1RlSzcvBoODCKSoLl2g,11100000.0,3718937197.0,727.0
Slogo @UCHdMK5Ef2El8KbD3L_WgANg,11700000.0,8909417557.0,6323.0
Jessie J @UC4pEp0mo54WhEBCTYvjVDJA,10600000.0,5795719260.0,96.0
Sing King @UCwTRjvjVge51X-ILJ4i22ew,11900000.0,7820735104.0,4334.0
BBC News عربي @UCelk6aHijZq-GJBBB9YpReA,11500000.0,4896020710.0,40551.0
Classic Mr Bean @UCEwIUtFBhaI2L2PuKv0KL2g,10400000.0,3406054632.0,1721.0
Syndicate @UC1ieoHqKW-yYgDhLHIcx28w,9610000.0,2133522659.0,3530.0
Gorillaz @UCfIXdjDQH9Fau7y99_Orpjw,10900000.0,5810621528.0,363.0
Woody & Kleiny @UCoGForHQAmk0_9rI9CABeYw,15500000.0,14236518267.0,1096.0
Jungle Beat @UChUHOEe7zgYmrv7a_LlpNng,11600000.0,5809579183.0,814.0
Julius Dein @juliusdein,10622210.52631579,4832438675.71579,4852.4
The X Factor UK @UCEY1ejsweY4DgMwOVJeEaBA,9170000.0,6998897201.0,5502.0
English with Lucy @UCz4tgANd4yy8Oe0iXCdSWfA,10900000.0,498763004.0,405.0
Shaun the Sheep @UCS7H8U-n5mINVJjJsaRtGHg,11900000.0,6348520705.0,861.0
Cartoons for Kids @UC977n5nXRn8MDuGQjwxkOLw,9000000.0,3401660492.0,2500.0
Mumbo Jumbo @UChFur_NwVSbUozOcF_F2kMg,9360000.0,3052497312.0,2074.0
Top Gear @UCjOl2AUblVmg2rA_cRgZkFg,8940000.0,3984586861.0,1871.0
Moonbug Kids - Kids Learning Videos @UC1QqdFv5e9QSEi0eYdfwuqw,11000000.0,4206561717.0,1472.0
BBC Radio 1 @UC-FQUIVQ-bZiefzBiQAa8Fw,8250000.0,3722209399.0,4866.0
Liverpool FC @liverpoolfc,10622210.52631579,4832438675.71579,4852.4
Grian @UCR9Gcq0CMm6YgTzsDxAxjOQ,8520000.0,2452320632.0,754.0
Daz Games @UCDBCCMlFD-hArPbWv38FINA,8570000.0,2699324743.0,1567.0
Vikkstar123 @UCvwgF_0NOZe2vN4Q3g1bY-A,7600000.0,2160368673.0,5042.0
PlayToys @UCHFA6Nt11kE_8OWIya0SQDQ,7800000.0,3054145095.0,1015.0
carwow @UCUhFaUpnq31m6TNX2VKVSVA,9220000.0,3883557749.0,2652.0
Jeremy Lynch @UC5Y1pPVNm-odhiubuRO1D6A,11800000.0,6312547018.0,766.0
TomSka @UCOYWgypDktXdb-HfZnSMK6A,7280000.0,2079151544.0,177.0
YOGSCAST Lewis & Simon @UCH-_hzb2ILSCo9ftVSnrCIQ,7070000.0,4570946668.0,6483.0
LDShadowLady @UCzTlXb7ivVzuFlugVCv3Kvg,7170000.0,3434754506.0,1077.0
The Beatles @UCc4K7bAqpdBP8jh1j9XZAww,8260000.0,6883450152.0,317.0
Passenger @UCFHtCB_FWXQ8GpjgfYcD8-g,7380000.0,4521686470.0,387.0
MessYourself @UCrSgaO6xOY8YV1EoCbD51HA,6870000.0,2568473849.0,1068.0
MoreSidemen @UCh5mLn90vUaB1PbRRx_AiaA,8360000.0,4294500010.0,1018.0
Boomerang UK @UCmst562fALOY2cKb4IFgqEg,7310000.0,3617362025.0,2339.0
James Arthur @UCV5Gw7GGOMxe6SSF6llp_3Q,7390000.0,4409451593.0,202.0
ARPO The Robot @UCrSx8rek9EuC3YGHvG8aalw,7690000.0,3248478839.0,1346.0
24 News HD @UCcmpeVbSSQlZRvHfdC-CRwg,7800000.0,3440068510.0,167076.0
RubyandBonnie @UC_wITz-Ze4JFc3WLQA1n3Hw,8940000.0,5175090352.0,628.0
Nickelodeon UK @UCHiceVclOIFCgAcveITRLLw,6980000.0,7410578737.0,3268.0
Mark Ronson @UCSY5V7BJSrxNvvBF0Drslow,6880000.0,6521643876.0,20.0
Rhia Official @UCQdsJ95w9jh-yB0BA6EDGWA,12600000.0,5886760204.0,911.0
UKF Dubstep @UCfLFTP1uTuIizynWsZq2nkQ,6250000.0,2123821087.0,1725.0
TGFbro @UCOgUcv_9DaivXzsN9mcHIzQ,6170000.0,1461605916.0,472.0
Wilbur Soot @UC1n_PfsVqxllCcnMPlxBIjw,5870000.0,795921527.0,139.0
Russell Brand @UCswH8ovgUp5Bdg-0_JTYFNw,6790000.0,1280093517.0,2746.0
Manchester United @UC6yW44UGJJBvYTlfC7CRg2Q,8900000.0,2153318714.0,4059.0
Pingu - Official Channel @UCM88mtSE0zRTn5ae4EbYcuw,6910000.0,2810780354.0,634.0
Mrwhosetheboss Shorts @UCZSlfzadjnw7G419c_OJ9eg,7100000.0,3736098268.0,186.0
Niko Omilana @UCdcUmdOxMrhRjKMw-BX19AA,7470000.0,619351082.0,141.0
Tiana Wilson @UC7_yh9PEDpaqp34QtGO-_Yw,5870000.0,1643331954.0,429.0
Capital FM @UCZzwjZPc6R_PbnDgFVMwlvQ,6140000.0,3557468061.0,2560.0
Simon's Cat @UCH6vXjt-BA7QHl0KnfL-7RQ,6230000.0,1581060265.0,485.0
CGP Grey @UC2C_jShtL725hvbm1arSV9w,6320000.0,1026557813.0,189.0
Jamie Oliver @UCpSgg_ECBj25s9moCDfSTsA,5930000.0,960191721.0,2121.0
ChrisMD @sirhcchris2010,10622210.52631579,4832438675.71579,4852.4
Dumori Bay @UC-VDfQNL-S44eZscGlXI14g,5350000.0,1129083.0,225.0
Space Videos @UCakgsb0w7QB0VHdnCc-OVEA,5650000.0,113892294.0,136.0
Real Stories @UCu4XcDBdnZkV6-5z2f16M0g,6310000.0,1178284277.0,1158.0
More Emily @UCO66lK14MYiXlu0A6pQ4ouA,5290000.0,1480308254.0,634.0
GRM Daily @UCqTwKvjbTENZDGbz2si47ag,6320000.0,7517470810.0,14798.0
Joe Weller @UCLk9wddjT0F-HILLRFXodtg,5290000.0,1015262080.0,321.0
WildBrain Kids @UCbmWOFTbZoDLWqG1rvFnJ0g,8480000.0,4122859450.0,5074.0
Sky News @UCoMdktPbSTixAyNGwb-UYkQ,7710000.0,4374181492.0,47307.0
Jarvis @UCvxfEIG3PHpgM0TMJJ_SH-w,5680000.0,1703931909.0,713.0
Thoughty2 @UCRlICXvO4XR4HMeEB9JjDlA,5400000.0,1044291888.0,817.0
TheDadLab @thedadlab,10622210.52631579,4832438675.71579,4852.4
Behzinga @UCHhfSXoDG6gSgpOvLH4wrRw,4960000.0,580199294.0,872.0
BBC Learning English @UCHaHD477h-FeBbVh9Sh7syA,6500000.0,338069362.0,3607.0
Max and Katy @UCvZwcK22QTUaM18KE7mHeNw,4730000.0,1316964117.0,507.0
Man City @UCkzCjdRMrW2vXLx8mvPVLdQ,7310000.0,1994652002.0,8345.0
Wisp @UC0h07r_UgTD0Tc-Dn5XLX3g,5190000.0,1077649596.0,518.0
WillNE @UCaFUrR3oSxOl5Y9y6tvLTEg,5040000.0,856395548.0,305.0
Zerkaa @UChntGq8THlUokhc1tT-M2wA,4710000.0,854522941.0,2012.0
Ben Phillips @UChoQQRDf-zU1h6_YjKkWvdw,4540000.0,1272426711.0,859.0
Roxxsaurus @UCBKFH7bU2ebvO68FtuGjyyw,4580000.0,540615342.0,942.0
